36696    1
8661    2
2461    3
1661    4
 759    5
 500    6
 278    7
 281    8
  36    9
  22   10
  10   11
   8   12
   8   13
  10   14
   7   15
  12   16
  16   17
   8   18
   8   19
  11   20
  10   21
   2   22
   6   23
   5   24
   6   25
   3   26
   5   27
   2   28
   3   30
   3   31
   3   32
   1   33
   7   34
   8   35
   4   36
   8   37
   3   38
   3   39
   2   40
   5   41
   1   42
   4   43
   1   44
   2   45
   1   46
   1   47
   2   48
   1   49
   2   50
   1   51
   3   52
   3   53
   4   54
   1   55
   2   56
   3   57
   4   58
   1   59
   1   60
   1   61
   2   62
   2   63
   3   64
   1   65
   1   66
   1   67
   1   68
   1   70
   1   74
   1   78
   1   80
   1   84
   1   85
   1   86
   1   89
   3   93
   1   98
   1  101
   1  104
   1  110
   1  115
   1  121
   2  126
   1  143
   1  179
   1  203
   1  220
   1  226
   1  235
   1  254
   1  256
   1  347
   1  352
   1  414
   1  511
   1  782
   1  811
   1  832
   1 1020
   2 1021
   1 1066
   1 1702
